timestamp,traditional_velocity,lstm_refined_velocity,ground_truth,traditional_error,lstm_error
5314,-1.5262013047384397,-1.5262013047384397,-3.3554011571800346e-05,1.5261677507268678,1.5261677507268678
5315,-1.5260578994667406,-1.5260578994667406,-3.257117584913484e-05,1.5260253282908915,1.5260253282908915
5317,-1.525938017979762,-1.525938017979762,-3.1588340126469344e-05,1.5259064296396354,1.5259064296396354
5318,-1.5258416602775036,-1.5258416602775036,-3.060550440380384e-05,1.5258110547730999,1.5258110547730999
5319,-1.525768826359966,-1.525768826359966,-2.962266868113834e-05,1.525739203691285,1.525739203691285
5321,-1.525719516227153,-1.525719516227153,-2.8639832958472844e-05,1.5256908763941945,1.5256908763941945
5323,-1.5256988094426684,-1.5256988094426684,-2.765699723580734e-05,1.5256711524454327,1.5256711524454327
5325,-1.525703557000527,-1.525703557000527,-2.6674161513141842e-05,1.525676882839014,1.525676882839014
5328,-1.525727975245832,-1.525727975245832,-2.569132579047634e-05,1.5257022839200414,1.5257022839200414
5330,-1.5257645432400586,-1.5257645432400586,-2.470849006781084e-05,1.5257398347499909,1.5257398347499909
5332,-1.5258051927211538,-1.5258051927211538,-2.3725654345145343e-05,1.5257814670668086,1.5257814670668086
5335,-1.5258426773405924,-1.5258426773405924,-2.274281862247984e-05,1.5258199345219698,1.5258199345219698
5337,-1.5258717787694374,-1.5258717787694374,-2.1759982899814337e-05,1.5258500187865376,1.5258500187865376
5340,-1.5258897659929325,-1.5258897659929325,-2.077714717714884e-05,1.5258689888457553,1.5258689888457553
5342,-1.525896178262124,-1.525896178262124,-1.9794311454483335e-05,1.5258763839506697,1.5258763839506697
5344,-1.5258923733331091,-1.5258923733331091,-1.881147573181653e-05,1.5258735618573773,1.5258735618573773
5346,-1.525880998460328,-1.525880998460328,-1.832913020023149e-05,1.5258626693301278,1.5258626693301278
5349,-1.5258654719352531,-1.5258654719352531,-1.768600282478477e-05,1.5258477859324284,1.5258477859324284
5351,-1.5258494440833021,-1.5258494440833021,-1.6882093605476372e-05,1.5258325619896966,1.5258325619896966
5353,-1.525836123689754,-1.525836123689754,-1.5917402542306292e-05,1.5258202062872117,1.5258202062872117
5355,-1.5258276023233832,-1.5258276023233832,-1.4791929635274533e-05,1.5258128103937478,1.5258128103937478
5357,-1.5258245333629255,-1.5258245333629255,-1.3505674884381095e-05,1.525811027688041,1.525811027688041
5360,-1.5258262756244,-1.5258262756244,-1.2058638289625976e-05,1.5258142169861104,1.5258142169861104
5362,-1.525831239141986,-1.525831239141986,-1.0450819851009178e-05,1.5258207883221349,1.5258207883221349
5364,-1.5258374167396058,-1.5258374167396058,-8.6822195685307e-06,1.5258287345200372,1.5258287345200372
5366,-1.5258431582261323,-1.5258431582261323,-6.752837442190541e-06,1.5258364053886901,1.5258364053886901
5369,-1.5258478188239233,-1.5258478188239233,-4.662673471988703e-06,1.5258431561504513,1.5258431561504513
5371,-1.5258518646475094,-1.5258518646475094,-2.4117276579251853e-06,1.5258494529198514,1.5258494529198514
5373,-1.5258563223940333,-1.5258563223940333,1.1753523608062724e-20,1.5258563223940333,1.5258563223940333
5376,-1.5258618629617056,-1.5258618629617056,1.1753523608062724e-20,1.5258618629617056,1.5258618629617056
5379,-1.525867953136793,-1.525867953136793,1.1753523608062724e-20,1.525867953136793,1.525867953136793
5381,-1.525872409392504,-1.525872409392504,1.1753523608062724e-20,1.525872409392504,1.525872409392504
5383,-1.5258718590857807,-1.5258718590857807,1.1753523608062724e-20,1.5258718590857807,1.5258718590857807
5385,-1.525863323931745,-1.525863323931745,1.1753523608062724e-20,1.525863323931745,1.525863323931745
5387,-1.525846103540807,-1.525846103540807,1.1753523608062724e-20,1.525846103540807,1.525846103540807
5390,-1.525822811417475,-1.525822811417475,1.1753523608062724e-20,1.525822811417475,1.525822811417475
5392,-1.5257990995443866,-1.5257990995443866,1.1753523608062724e-20,1.5257990995443866,1.5257990995443866
5394,-1.5257821479592804,-1.5257821479592804,1.1753523608062724e-20,1.5257821479592804,1.5257821479592804
5396,-1.5257783805925333,-1.5257783805925333,1.1753523608062724e-20,1.5257783805925333,1.5257783805925333
5399,-1.5257914204736431,-1.5257914204736431,1.1753523608062724e-20,1.5257914204736431,1.5257914204736431
5401,-1.5258211050962736,-1.5258211050962736,1.1753523608062724e-20,1.5258211050962736,1.5258211050962736
5403,-1.52586363167037,-1.52586363167037,1.1753523608062724e-20,1.52586363167037,1.52586363167037
5405,-1.5259127531200987,-1.5259127531200987,1.1753523608062724e-20,1.5259127531200987,1.5259127531200987
5408,-1.5259616757909726,-1.5259616757909726,1.1753523608062724e-20,1.5259616757909726,1.5259616757909726
5410,-1.5260047039825801,-1.5260047039825801,1.1753523608062724e-20,1.5260047039825801,1.5260047039825801
5412,-1.5260381067707383,-1.5260381067707383,1.1753523608062724e-20,1.5260381067707383,1.5260381067707383
5414,-1.5260604801525184,-1.5260604801525184,1.1753523608062724e-20,1.5260604801525184,1.5260604801525184
5416,-1.5260726332753072,-1.5260726332753072,1.1753523608062724e-20,1.5260726332753072,1.5260726332753072
5420,-1.5260766993838697,-1.5260766993838697,1.1753523608062724e-20,1.5260766993838697,1.5260766993838697
5422,-1.5260748747319555,-1.5260748747319555,1.1753523608062724e-20,1.5260748747319555,1.5260748747319555
5424,-1.5260687594371931,-1.5260687594371931,1.1753523608062724e-20,1.5260687594371931,1.5260687594371931
5426,-1.5260595520095466,-1.5260595520095466,1.1753523608062724e-20,1.5260595520095466,1.5260595520095466
5429,-1.5260485666276042,-1.5260485666276042,1.1753523608062724e-20,1.5260485666276042,1.5260485666276042
5431,-1.526037679921458,-1.526037679921458,1.1753523608062724e-20,1.526037679921458,1.526037679921458
5433,-1.5260294471863196,-1.5260294471863196,1.1753523608062724e-20,1.5260294471863196,1.5260294471863196
5435,-1.5260266603599435,-1.5260266603599435,1.1753523608062724e-20,1.5260266603599435,1.5260266603599435
5438,-1.5260315606467174,-1.5260315606467174,-2.4117276579251853e-06,1.5260291489190594,1.5260291489190594
5440,-1.5260450121104765,-1.5260450121104765,-4.662673471988703e-06,1.5260403494370045,1.5260403494370045
5442,-1.5260657953872243,-1.5260657953872243,-6.752837442190541e-06,1.5260590425497822,1.5260590425497822
5444,-1.5260905843824624,-1.5260905843824624,-8.6822195685307e-06,1.5260819021628937,1.5260819021628937
5447,-1.5261148805940719,-1.5261148805940719,-1.0450819851009178e-05,1.5261044297742208,1.5261044297742208
5449,-1.5261341988219623,-1.5261341988219623,-1.2058638289625976e-05,1.5261221401836726,1.5261221401836726
5451,-1.5261450590800767,-1.5261450590800767,-1.3505674884381095e-05,1.5261315534051922,1.5261315534051922
5453,-1.5261457424916451,-1.5261457424916451,-1.4791929635274533e-05,1.5261309505620098,1.5261309505620098
5456,-1.5261363295365253,-1.5261363295365253,-1.5917402542306292e-05,1.526120412133983,1.526120412133983
5458,-1.5261180236123741,-1.5261180236123741,-1.6882093605476372e-05,1.5261011415187686,1.5261011415187686
5460,-1.5260925586824943,-1.5260925586824943,-2.0097730482709966e-05,1.5260724609520115,1.5260724609520115
5463,-1.5260621276658441,-1.5260621276658441,-2.29918036722202e-05,1.5260391358621719,1.5260391358621719
5466,-1.5260297204929691,-1.5260297204929691,-2.5564313174007077e-05,1.5260041561797952,1.5260041561797952
5468,-1.5259994517132314,-1.5259994517132314,-2.7815258988070597e-05,1.5259716364542433,1.5259716364542433
5470,-1.5259761296417587,-1.5259761296417587,-2.9744641114410758e-05,1.5259463850006443,1.5259463850006443
5472,-1.5259637867181644,-1.5259637867181644,-3.135245955302756e-05,1.5259324342586114,1.5259324342586114
5474,-1.525964034457017,-1.525964034457017,-3.2638714303921e-05,1.525931395742713,1.525931395742713
5477,-1.5259752349884033,-1.5259752349884033,-3.360340536709107e-05,1.525941631583036,1.525941631583036
5479,-1.5259926818420242,-1.5259926818420242,-3.4246532742537785e-05,1.5259584353092817,1.5259584353092817
5481,-1.5260096680818687,-1.5260096680818687,-3.456809643026115e-05,1.5259750999854385,1.5259750999854385
5483,-1.5260191509872825,-1.5260191509872825,-3.456809643026115e-05,1.5259845828908523,1.5259845828908523
5485,-1.5260155914372668,-1.5260155914372668,-3.4246532742537785e-05,1.5259813449045243,1.5259813449045243
5487,-1.5259967344595622,-1.5259967344595622,-3.360340536709107e-05,1.525963131054195,1.525963131054195
5490,-1.5259647200209079,-1.5259647200209079,-3.2638714303921e-05,1.525932081306604,1.525932081306604
5492,-1.525925644631366,-1.525925644631366,-3.135245955302756e-05,1.525894292171813,1.525894292171813
5494,-1.5258877261982806,-1.5258877261982806,-2.9744641114410758e-05,1.5258579815571662,1.5258579815571662
5496,-1.525859226907314,-1.525859226907314,-2.7815258988070597e-05,1.5258314116483258,1.5258314116483258
5498,-1.5258469169368307,-1.5258469169368307,-2.5564313174007077e-05,1.5258213526236568,1.5258213526236568
5501,-1.5258550801112554,-1.5258550801112554,-2.29918036722202e-05,1.525832088307583,1.525832088307583
5504,-1.5258849209745549,-1.5258849209745549,-2.0097730482709966e-05,1.5258648232440721,1.5258648232440721
5506,-1.5259342674074847,-1.5259342674074847,-1.6882093605476372e-05,1.5259173853138792,1.5259173853138792
5508,-1.5259976262936599,-1.5259976262936599,-1.5917402542306292e-05,1.5259817088911176,1.5259817088911176
5510,-1.5260670040810482,-1.5260670040810482,-1.4791929635274533e-05,1.5260522121514128,1.5260522121514128
5512,-1.5261334184100315,-1.5261334184100315,-1.3505674884381095e-05,1.526119912735147,1.526119912735147
5515,-1.5261883043554976,-1.5261883043554976,-1.2058638289625976e-05,1.526176245717208,1.526176245717208
5517,-1.5262245013036346,-1.5262245013036346,-1.0450819851009178e-05,1.5262140504837836,1.5262140504837836
5519,-1.5262370865749926,-1.5262370865749926,-8.6822195685307e-06,1.526228404355424,1.526228404355424
5521,-1.5262241377787118,-1.5262241377787118,-6.752837442190541e-06,1.5262173849412697,1.5262173849412697
5523,-1.5261874190451086,-1.5261874190451086,-4.662673471988703e-06,1.5261827563716366,1.5261827563716366
5525,-1.526132680143093,-1.526132680143093,-2.411727657925185e-06,1.526130268415435,1.526130268415435
5528,-1.5260688022344269,-1.5260688022344269,1.1965298808208e-20,1.5260688022344269,1.5260688022344269
5530,-1.5260058187792103,-1.5260058187792103,1.1965298808208e-20,1.5260058187792103,1.5260058187792103
5532,-1.5259529259815103,-1.5259529259815103,1.1965298808208e-20,1.5259529259815103,1.5259529259815103
5534,-1.5259171306291064,-1.5259171306291064,1.1965298808208e-20,1.5259171306291064,1.5259171306291064
5536,-1.5259023415193365,-1.5259023415193365,1.1965298808208e-20,1.5259023415193365,1.5259023415193365
5538,-1.5259088468447337,-1.5259088468447337,1.1965298808208e-20,1.5259088468447337,1.5259088468447337
5541,-1.5259333807643503,-1.5259333807643503,1.1965298808208e-20,1.5259333807643503,1.5259333807643503
5543,-1.5259699134111002,-1.5259699134111002,1.1965298808208e-20,1.5259699134111002,1.5259699134111002
5545,-1.5260111660918922,-1.5260111660918922,-2.411727657925185e-06,1.5260087543642342,1.5260087543642342
5548,-1.5260503942481725,-1.5260503942481725,-4.662673471988703e-06,1.5260457315747005,1.5260457315747005
5550,-1.5260825024149176,-1.5260825024149176,-6.752837442190541e-06,1.5260757495774755,1.5260757495774755
5552,-1.5261041191772016,-1.5261041191772016,-8.6822195685307e-06,1.526095436957633,1.526095436957633
5554,-1.5261132972804323,-1.5261132972804323,-1.0450819851009178e-05,1.5261028464605813,1.5261028464605813
5557,-1.5261094170085463,-1.5261094170085463,-1.2058638289625976e-05,1.5260973583702566,1.5260973583702566
5559,-1.526093169586511,-1.526093169586511,-1.3505674884381095e-05,1.5260796639116265,1.5260796639116265
5561,-1.526066331693991,-1.526066331693991,-1.4791929635274533e-05,1.5260515397643557,1.5260515397643557
